i,entry_short,entry_long,exit_short_threshold,exit_long_threshold,position_timeout,multiple_entries,capital_percent,total_short_return,total_long_return,total_return,positions,balance,roi
3,1.0,0.95,0.95,0.95,14 days 00:00:00,True,0.1,-238.0780579086691,2.173976522149278,-235.90408138651983,12450,1.833903008293548e-11,-91.75104251830535
3,1.0,0.95,0.95,0.95,14 days 00:00:00,False,0.1,-8.104958632389515,1.0030086734836703,-7.101949958905845,1110,0.4630042315876342,-7.477163621155958
3,1.0,0.95,0.95,0.95,14 days 00:00:00,True,0.2,-238.0780579086691,2.173976522149278,-235.90408138651983,12450,2.846646830291258e-23,-99.46964885566958
3,1.0,0.95,0.95,0.95,14 days 00:00:00,False,0.2,-8.104958632389515,1.0030086734836703,-7.101949958905845,1110,0.1874444653731594,-15.547174895685679
3,1.0,0.95,0.95,0.95,14 days 00:00:00,True,0.30000000000000004,-238.0780579086691,2.173976522149278,-235.90408138651983,12450,2.5587902079700838e-36,-99.97442256139865
3,1.0,0.95,0.95,0.95,14 days 00:00:00,False,0.30000000000000004,-8.104958632389515,1.0030086734836703,-7.101949958905845,1110,0.06446626871086004,-24.17174041128718
3,1.0,0.95,0.95,0.95,14 days 00:00:00,True,0.4,-238.0780579086691,2.173976522149278,-235.90408138651983,12450,7.984823895569054e-51,-99.99912127585372
3,1.0,0.95,0.95,0.95,14 days 00:00:00,False,0.4,-8.104958632389515,1.0030086734836703,-7.101949958905845,1110,0.0180294807651396,-33.32178918801185
3,1.0,0.95,0.95,0.95,14 days 00:00:00,True,0.5,-238.0780579086691,2.173976522149278,-235.90408138651983,12450,4.1783779712537e-67,-99.99998001722835
3,1.0,0.95,0.95,0.95,14 days 00:00:00,False,0.5,-8.104958632389515,1.0030086734836703,-7.101949958905845,1110,0.003811022467920293,-43.00129437849422
3,1.0,0.95,0.95,0.95,14 days 00:00:00,True,0.6,-238.0780579086691,2.173976522149278,-235.90408138651983,12450,1.1805556616723185e-85,-99.99999973171684
3,1.0,0.95,0.95,0.95,14 days 00:00:00,False,0.6,-8.104958632389515,1.0030086734836703,-7.101949958905845,1110,0.0005258447813868855,-53.32865113068199
3,1.0,0.95,0.95,0.95,14 days 00:00:00,True,0.7000000000000001,-238.0780579086691,2.173976522149278,-235.90408138651983,12450,2.0091865736820032e-107,-99.99999999829573
