Row,gs_x1,gs_x2,gs_x3,gs_x4,gs_diff,gs_error,j_x1,j_x2,j_x3,j_x4,j_diff,j_error
14th approximation,0.867474769217266,0.0217254476693006,0.596513006118141,0.057196313764257,1.68735131042734e-05,1.62105169825408e-05,0.887067548604331,0.0250020673855333,0.57994586788724,0.0398456309479446,0.0641991728754689,0.0311426378943097
15th approximation,0.867477479347534,0.0217250033856502,0.596506922014837,0.0572011919074949,8.26769547661653e-06,7.94282150598733e-06,0.849882278192773,0.0185135166222408,0.611095905706976,0.0744838730589678,0.0599581378905433,0.0288362924924186
16th approximation,0.867478807240057,0.0217247856983513,0.596503940919685,0.057203582098586,4.05100334144897e-06,3.89181816454291e-06,0.8843710113557,0.0246094625913488,0.58228635835359,0.0418657268127281,0.0558620332219473,0.0270370949771407
17th approximation,0.867479457876937,0.0217246790365677,0.596502480243048,0.0572047532428987,1.98490813998313e-06,1.9069100245601e-06,0.852067209479903,0.0189555719089016,0.609329197394228,0.0720650146388588,0.0521422498945254,0.0251113253292482
18th approximation,0.867479776674928,0.0217246267746019,0.59650176454153,0.057205327079301,9.72563803408711e-07,9.34346221151417e-07,0.882097953149369,0.0242512771344422,0.584230680479421,0.0437405949808025,0.0486014234304462,0.0234934635932001
19th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.85401954622793,0.0193282044017428,0.607727143151829,0.0700447843247629,0.0453500575031184,0.0218584243836103
20th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.880157583032133,0.0239312219298475,0.585875476873587,0.0454312327620562,0.0422812840155975,0.0204238573388929
21th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.855744103376726,0.0196462978635847,0.60630043475146,0.0683300423885114,0.0394450624256085,0.0190217480016807
22th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.87848845860158,0.0236485076431596,0.587282612102079,0.0469322078274773,0.0367813577772595,0.0177599055777162
23th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.857257587133508,0.0199199248194131,0.605042561851094,0.0668600768516139,0.0343101735946938,0.0165504290282634
24th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.87704606152739,0.023400395551884,0.588494636020828,0.0482532666987936,0.031996009574695,0.015445668252019
25th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.858580894795655,0.0201563833561656,0.603939835202003,0.0655923899953223,0.0298443524304866,0.0143987319265954
26th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.87579620381822,0.0231834598695647,0.589542841772847,0.0494102375054591,0.0278328140144812,0.0134341080936714
27th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.859735437714258,0.0203612780625869,0.602976271114161,0.0644952525483692,0.0259601159610412,0.0125260220266915
28th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.874711451015585,0.0229941905386462,0.59045154549521,0.0504206214707986,0.0242110965118853,0.0116850821964067
29th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.860741483192955,0.0205391063908878,0.602135895923343,0.0635437245984146,0.0225815703564506,0.0108964923587989
30th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.873769109267511,0.0228292650503352,0.59124042373759,0.0513015381463179,0.0210605391930575,0.0101640491208118
31th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.861617495154803,0.0206935886446703,0.601403763390531,0.0627174628827317,0.0196428014738832,0.009478753598142
32th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.872950032423008,0.0226856565319995,0.591925843217029,0.0520688420897512,0.0183199025928346,0.00884114967271397
33th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.862379958343397,0.0208278635372118,0.600766338371148,0.0619994577012951,0.0170865251544652,0.00824537585095385
34th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.872237867818234,0.0225606625666562,0.592521660252167,0.0527368136397054,0.015935879768241,0.00769050411833873
35th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.863043427408039,0.0209446118330763,0.600211575944166,0.0613752614143937,0.0148629383950889,0.00717243438622993
36th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.871618544174154,0.0224518971462231,0.593039734713191,0.0533181231212154,0.0138620821194164,0.00668964779280382
37th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.86362067219658,0.021046140299319,0.599728860932671,0.0608324835238597,0.0129287327423548,0.00623908498201497
38th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.871079899251958,0.0223572668530196,0.593490284934613,0.0538239181413897,0.0120581482951322,0.00581906333079546
39th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.864122856246572,0.0211344427455806,0.599308889620721,0.0603604358631907,0.0112462425101518,0.00542717918898288
40th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.870611393097265,0.0222749415989226,0.593882149638329,0.0542639596738129,0.010488964527608,0.00506178534386717
41th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.864559718511946,0.0212112470332352,0.598943533508527,0.0599498668264283,0.00978270710209234,0.00472092176107971
42th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.870203877460693,0.0222033248341072,0.594222992001022,0.0546467709819319,0.00912398412217474,0.00440306236264945
43th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.864939744880896,0.0212780528752962,0.598625703857863,0.0595927519536555,0.00850963098391836,0.00410656862211536
