Row,gs_x1,gs_x2,gs_x3,gs_x4,gs_diff,gs_error,j_x1,j_x2,j_x3,j_x4,j_diff,j_error
Initial data,0,0,0,0,NaN,2.00000000000001,0,0,0,0,NaN,2.00000000000001
1th approximation,2.08333333333333,0.725,0.371527777777778,0.22238425925926,2.24797473878257,1.49963318363654,2.08333333333333,3.85,4.75,5.31666666666667,8.36613544130276,6.48014060204113
2th approximation,1.54139467592593,1.12583159722222,0.58839916087963,0.356596059992284,0.720700688211669,0.944629909944866,-2.75416666666667,-6.0275,-7.96527777777778,-9.26083333333333,22.2519259327378,15.7841829037259
3th approximation,1.23513546609761,1.3420397941985,0.716727763762297,0.440141498061947,0.404955255039944,0.752306194476459,10.0673842592593,19.5117083333333,24.5920138888889,27.8677824074074,57.0539628591345,41.2718021601769
4th approximation,1.06336880713117,1.45331606764436,0.79428898850765,0.494458272892763,0.225504434050671,0.712320518444798,-22.8368043981481,-46.41575625,-59.6417611882716,-68.3083303240741,147.561138994917,106.289769201938
5th approximation,0.968297735118746,1.50516169220549,0.84266976546793,0.53180453474193,0.12434597047396,0.707215077085158,62.248881102109,123.82152568287,157.754644579475,179.845187833076,380.869625792667,274.579992744581
6th approximation,0.916911431722464,1.5235478074702,0.874209075506537,0.559194142603117,0.0687278699492641,0.700813225820908,-157.373607992863,-315.746417787616,-403.646032134666,-461.016096560764,983.528301724542,708.948360385676
7th approximation,0.890357868778609,1.52328990464031,0.895962719065995,0.580644690897335,0.0404784541344829,0.687412796166831,409.759243745554,819.254594026752,1045.90244935659,1193.68583638062,2539.50708906554,1830.55874884355
8th approximation,0.877872968600178,1.51283169326184,0.911968193341295,0.598461708818274,0.0289632224048822,0.668501275751223,-1054.59957256073,-2111.42720446415,-2696.98851242654,-3078.93796577487,6557.26996954092,4726.71122853487
9th approximation,0.873312661717415,1.49697783712694,0.924538510047069,0.613972274961891,0.0258984879363619,0.646334660404705,2726.52759781797,5455.85352262592,6967.48159799378,7953.35060272871,16931.4510262738,12204.7398007363
10th approximation,0.873171842680367,1.47845498846701,0.935001297480713,0.627944111061375,0.0254518737493379,0.622619445007245,-7036.67494465973,-14083.5629568595,-17987.0717352529,-20533.0300921838,43718.5605595789,31513.8207599737
11th approximation,0.875452712174245,1.45880349199127,0.944121022169354,0.640825005709709,0.025307518738949,0.59844950317879,18172.8129132267,36368.9842737396,46447.8536806605,53021.4029838863,112885.304794775,81371.4840352237
