Row,gs_x1,gs_x2,gs_x3,gs_diff,gs_error,j_x1,j_x2,j_x3,j_diff,j_error
Initial data,0,0,0,NaN,1.73205080756888,0,0,0,NaN,1.73205080756888
1th approximation,1.2,1.06,0.948,1.86072673974445,0.215183642501004,1.2,1.3,1.4,2.2561028345357,0.53851648071345
2th approximation,0.9992,1.00536,0.999088,0.214280548216584,0.00549557494717363,0.93,0.92,0.9,0.683593446428504,0.145945195193264
3th approximation,0.9995552,1.00018016,1.000052928,0.00528090858761866,0.000482810562005542,1.018,1.024,1.03,0.188308257917703,0.042426406871193
4th approximation,0.9999766912,0.99999936896,1.000004787968,0.000461148234847216,2.3803844363707e-05,0.9946,0.9934,0.9916,0.0543919111633338,0.0119699624059559
5th approximation,0.9999995843072,0.99999960434176,1.00000016227021,2.33569441903284e-05,5.96387094992969e-07,1.0015,1.00192,1.0024,0.0153896198783467,0.00342000000000023
6th approximation,1.0000000233388,0.999999979105219,0.999999999511196,5.9973902220053e-07,3.13293879468205e-08,0.999568,0.99946,0.999316,0.00439263929773444,0.000972666438199529
7th approximation,NaN,NaN,NaN,NaN,NaN,1.0001224,1.0001548,1.0001944,0.00124967714230518,0.000277012923886376
8th approximation,NaN,NaN,NaN,NaN,NaN,0.99996508,0.99995608,0.99994456,0.000355892183673628,7.8879442188532e-05
9th approximation,NaN,NaN,NaN,NaN,NaN,1.000009936,1.000012528,1.000015768,0.000101336156943254,2.245672959301e-05
10th approximation,NaN,NaN,NaN,NaN,NaN,0.9999971704,0.999996436,0.9999955072,2.88515688311034e-05,6.39484042018722e-06
11th approximation,NaN,NaN,NaN,NaN,NaN,1.00000080568,1.0000010152,1.00000127872,8.21552046008278e-06,1.82068013148153e-06
12th approximation,NaN,NaN,NaN,NaN,NaN,0.999999770608,0.999999710992,0.999999635824,2.3391109035268e-06,5.1843077892737e-07
13th approximation,NaN,NaN,NaN,NaN,NaN,1.0000000653184,1.000000082296,1.00000010368,6.66040627236097e-07,1.47609848809643e-07
true value,1,1,1,NaN,0,1,1,1,NaN,0
